W,Название,Title,Тип изображения,Изображение на сайте,"Ширина, px","Высота, px",Мегапиксели,Источник,Страница источника
919,Красные и розовые маки,Red and Pink Poppies,цветная фотография,https://monet.1vasiliadi.com/img/1600/w919.webp,300,1027,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Red_and_Pink_Poppies_(11538159396).jpg
920,Белый мак,White Poppy,скан из каталога,https://monet.1vasiliadi.com/img/1600/w920.webp,320,1024,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w920.jpg
921,Анемоны,Anemones,скан из каталога,https://monet.1vasiliadi.com/img/1600/w921.webp,261,99,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_921.png"
922,Нарциссы,Daffodils,скан из каталога,https://monet.1vasiliadi.com/img/1600/w922.webp,1500,599,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w922.jpg
923,Ветка лимонов,Branch of Lemons,цветная фотография,https://monet.1vasiliadi.com/img/1600/w923.webp,2734,3763,10.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Branche_de_citronnier_(1884)_Claude_Monet_(W_923).jpg
924,Ветка апельсинов,Branch of Oranges,скан из каталога,https://monet.1vasiliadi.com/img/1600/w924.webp,759,1024,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w924.jpg
925,Ваза с хризантемами,Vase of Chrysanthemums,скан из каталога,https://monet.1vasiliadi.com/img/1600/w925.webp,1000,3460,3.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w925.jpg
926,Подсолнухи,Sunflowers,скан из каталога,https://monet.1vasiliadi.com/img/1600/w926.webp,293,957,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w926.jpg
927,Хризантемы,Chrysanthemums,скан из каталога,https://monet.1vasiliadi.com/img/1600/w927.webp,255,106,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_927.png"
928,Нарциссы,Daffodils,скан из каталога,https://monet.1vasiliadi.com/img/1600/w928.webp,1482,594,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w928.jpg
929,Белые азалии в горшке,White Azaleas in a Pot,скан из каталога,https://monet.1vasiliadi.com/img/1600/w929.webp,758,1023,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w929.jpg
930,Натюрморт с анемонами,Still Life with Anemones,скан из каталога,https://monet.1vasiliadi.com/img/1600/w930.webp,736,1024,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w930.jpg
931,Ваза с георгинами,Vase of Dahlias,цветная фотография,https://monet.1vasiliadi.com/img/1600/w931.webp,280,954,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_vase-of-dahlias.jpg
932,Георгины,Dahlias,цветная фотография,https://monet.1vasiliadi.com/img/1600/w932.webp,335,1124,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Dahlias_(16035439250).jpg
933,Жёлтые маргаритки,Yellow Daisies,скан из каталога,https://monet.1vasiliadi.com/img/1600/w933.webp,263,106,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_933.png"
934,Белые маргаритки,White Daisies,скан из каталога,https://monet.1vasiliadi.com/img/1600/w934.webp,261,104,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_934.png"
935,Персики,Peaches,скан из каталога,https://monet.1vasiliadi.com/img/1600/w935.webp,707,1009,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w935.jpg
936,Корзина с яблоками,Basket of Apples,скан из каталога,https://monet.1vasiliadi.com/img/1600/w936.webp,1320,1840,2.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w936.jpg
937,Георгины,Dahlias,цветная фотография,https://monet.1vasiliadi.com/img/1600/w937.webp,280,929,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_dahlias.jpg
938,Гладиолусы,Gladioli,скан из каталога,https://monet.1vasiliadi.com/img/1600/w938.webp,295,1024,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w938.jpg
939,Анемоны,Anemonies,скан из каталога,https://monet.1vasiliadi.com/img/1600/w939.webp,1800,712,1.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w939.jpg
940,Жёлтые маргаритки,Yellow Daisies,скан из каталога,https://monet.1vasiliadi.com/img/1600/w940.webp,1500,576,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w940.jpg
941,Три горшка с тюльпанами,Three Pots of Tulips,скан из каталога,https://monet.1vasiliadi.com/img/1600/w941.webp,727,1024,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w941.jpg
942,Ваза с тюльпанами,Vase of Tulips,цветная фотография,https://monet.1vasiliadi.com/img/1600/w942.webp,768,1029,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Vase_of_Tulips_(14300279725).jpg
943,Красные азалии в горшке,Red Azalias in a Pot,цветная фотография,https://monet.1vasiliadi.com/img/1600/w943.webp,280,983,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_red-azaleas-in-a-pot.jpg
944,Кобеи,Cobeas,цветная фотография,https://monet.1vasiliadi.com/img/1600/w944.webp,280,954,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_cobeas.jpg
945,Ветка белых и розовых азалий,Branch of White and Pink Azaleas,скан из каталога,https://monet.1vasiliadi.com/img/1600/w945.webp,267,93,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_945.png"
946,Ветка белых и розовых азалий,Branch of White and Pink Azaleas,скан из каталога,https://monet.1vasiliadi.com/img/1600/w946.webp,263,93,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_946.png"
947,Ваза с хризантемами,Vase of Chrysanthemums,скан из каталога,https://monet.1vasiliadi.com/img/1600/w947.webp,464,639,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w947.jpg
948,Горшок с белыми азалиями,Pot of White Azaleas,скан из каталога,https://monet.1vasiliadi.com/img/1600/w948.webp,744,1024,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w948.jpg
949,Красные лилии,Red Lilies,скан из каталога,https://monet.1vasiliadi.com/img/1600/w949.webp,359,735,0.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_949-954.png"
950,Восточная лилия,Oriental Lily,скан из каталога,https://monet.1vasiliadi.com/img/1600/w950.webp,255,908,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_950.png"
951,Персики,Peaches,скан из каталога,https://monet.1vasiliadi.com/img/1600/w951.webp,256,104,0.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_951.png"
952,Персики,Peaches,цветная фотография,https://monet.1vasiliadi.com/img/1600/w952.webp,1662,651,1.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2022-06-24_at_13-35-16_P%C3%AAches_(C_Monet_-_W_952).png
953,Морозники,Christmas Roses,скан из каталога,https://monet.1vasiliadi.com/img/1600/w953.webp,480,640,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w953.jpg
954,"Корзина с виноградом, айвой и грушами","Basket of Grapes, Quinces and Pears",цветная фотография,https://monet.1vasiliadi.com/img/1600/w954.webp,1736,2396,4.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Basket_of_Grapes_by_Claude_Monet,_Columbus_Museum_of_Art_.JPG"
955,Сливы и абрикосы,Plums and Apricots,скан из каталога,https://monet.1vasiliadi.com/img/1600/w955.webp,1023,467,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w955.jpg
956,Ваза с тюльпанами,Vase of Tulips,скан из каталога,https://monet.1vasiliadi.com/img/1600/w956.webp,352,472,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_956.png"
957,Ваза с тюльпанами,Vase of Tulips,скан из каталога,https://monet.1vasiliadi.com/img/1600/w957.webp,356,476,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_957.png"
958,Горшки с тюльпанами,Pots of Tulips,цветная фотография,https://monet.1vasiliadi.com/img/1600/w958.webp,2436,3279,8.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_pots_of_tulips_w958.jpg
959,Анемоны,Anemones,скан из каталога,https://monet.1vasiliadi.com/img/1600/w959.webp,356,145,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_959.png"
960,Цветы,Flowers,скан из каталога,https://monet.1vasiliadi.com/img/1600/w960.webp,360,160,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_960.png"
961,Зима в Живерни,Winter at Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w961.webp,3730,2960,11.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:ClaudeMonet-1885-Winter_in_Giverny.png
962,Сена в Пор-Вийе. Эффект снега,The Seine at Port-Villez. Snow Effect,скан из каталога,https://monet.1vasiliadi.com/img/1600/w962.webp,1024,802,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w962.jpg
963,Иней в Живерни,Frost at Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w963.webp,2500,1883,4.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MB-Mon-18_Monet_Raureif-in-Giverny.jpg
964,Иней,Frost,скан из каталога,https://monet.1vasiliadi.com/img/1600/w964.webp,748,548,0.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_964.png"
965,Въезд в Живерни под снегом,Entrance to Giverny under the snow,скан из каталога,https://monet.1vasiliadi.com/img/1600/w965.webp,2500,2026,5.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w965.jpg
966,"Дорога в Живерни зимой, закат","Road to Giverny in Winter, Sunset",цветная фотография,https://monet.1vasiliadi.com/img/1600/w966.webp,1123,892,1.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Entr%C3%A9e_de_Giverny_en_hiver,_soleil_couchant.jpg"
967,Дорога в Живерни зимой,Road to Giverny in Winter,цветная фотография,https://monet.1vasiliadi.com/img/1600/w967.webp,1800,1437,2.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MB-Mon-19_Monet_Ortseingang-von-Giverny-im-Winter_1.jpg
968,Дорога в Живерни зимой,Road to Giverny in Winter,цветная фотография,https://monet.1vasiliadi.com/img/1600/w968.webp,2871,2286,6.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:ROUTE_DE_GIVERNY_EN_HIVER_(1885)_Claude_Monet_(W_968).jpg
969,Дорога в низине в Живерни,Sunken Path at Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w969.webp,360,255,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_969.png"
970,Дорога в Живерни,Road to Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w970.webp,1000,738,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w970.jpg
971,Скалы в Фалезе близ Живерни,Les Roches at Falaise near Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w971.webp,1023,818,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w971.jpg
972,Дома у дороги,Houses on the side of the Road,скан из каталога,https://monet.1vasiliadi.com/img/1600/w972.webp,2320,1800,4.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w972.jpg
973,"Деревушка Фалез, зимний пейзаж","Hamlet of Falaise, Winter countryside",скан из каталога,https://monet.1vasiliadi.com/img/1600/w973.webp,757,606,0.5,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_973.png"
974,Скала близ Живерни,"Falaise, near Giverny",скан из каталога,https://monet.1vasiliadi.com/img/1600/w974.webp,1023,756,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w974.jpg
975,Зимний пейзаж в Валь-де-Фалез,Winter Landscape at the Val de Falaise,цветная фотография,https://monet.1vasiliadi.com/img/1600/w975.webp,3840,3141,12.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Val_de_Falaise_(Giverny)_-_1885.jpg
976,Долина Фалез зимой,Valley of Falaise in Winter,цветная фотография,https://monet.1vasiliadi.com/img/1600/w976.webp,1587,1296,2.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:VAL_DE_FALAISE_EN_HIVER_(1885)_Claude_Monet_(W976).jpg
977,Дома в Фалезе в тумане,Houses at Falaise in the Fog,цветная фотография,https://monet.1vasiliadi.com/img/1600/w977.webp,1248,992,1.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Maisons_%C3%A0_Falaise,_brouillard.jpg"
978,Долина Фалез,The Valley of Falaise,цветная фотография,https://monet.1vasiliadi.com/img/1600/w978.webp,280,228,0.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_the-valley-of-falaise.jpg
979,Валь-де-Фалез,Val de Falaise,цветная фотография,https://monet.1vasiliadi.com/img/1600/w979.webp,721,719,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Val_de_Falaise_(1885)_Claude_Monet_(W_979).jpg
980,Весна на берегах Эпта,Spring on the Banks of the Epte,скан из каталога,https://monet.1vasiliadi.com/img/1600/w980.webp,1024,810,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w980.jpg
981,Ивы весной,Willows in Springtime,цветная фотография,https://monet.1vasiliadi.com/img/1600/w981.webp,280,225,0.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_willows-in-springtime.jpg
982,Деревья у реки. Весна в Живерни,"Trees by the River, Springtime in Giverny",скан из каталога,https://monet.1vasiliadi.com/img/1600/w982.webp,1000,825,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w982.jpg
983,Ива (Весна на Эпте),The Willow (also known as Spring on the Epte),цветная фотография,https://monet.1vasiliadi.com/img/1600/w983.webp,2880,2015,5.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Le_Saule_(1885)_Claude_Monet_(W_983).jpg
984,Река Эпт,The River Epte,цветная фотография,https://monet.1vasiliadi.com/img/1600/w984.webp,280,355,0.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_the-river-epte.jpg
985,Река и мельница близ Живерни,River and Mill near Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w985.webp,705,1024,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w985.jpg
986,Весна в Живерни. Утро,"Spring in Giverny, Morning Effect",скан из каталога,https://monet.1vasiliadi.com/img/1600/w986.webp,2437,1800,4.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w986.jpg
987,Весна в Живерни. После полудня,"Spring in Giverny, Afternoon Effect",скан из каталога,https://monet.1vasiliadi.com/img/1600/w987.webp,1320,942,1.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w987.jpg
988,Цветущие груши,Pear Trees in Flower,цветная фотография,https://monet.1vasiliadi.com/img/1600/w988.webp,2880,2300,6.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Poirier_en_fleurs_(1885)_Claude_Monet_(W_988).jpg
989,Беннекур,Bennecourt,скан из каталога,https://monet.1vasiliadi.com/img/1600/w989.webp,760,736,0.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_989.png"
990,Церковь в Беннекуре,The Church at Bennecourt,скан из каталога,https://monet.1vasiliadi.com/img/1600/w990.webp,265,270,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_990.png"
991,Луг в Живерни,Meadow at Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w991.webp,361,277,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_991.png"
992,Луг в Живерни,Meadow at Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w992.webp,1303,1040,1.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w992.jpg
993,Стог сена в Живерни,Haystacks at Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w993.webp,1280,1017,1.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_1885_-_Haystacks_at_Giverny.jpg"
994,Стога,Haystacks,цветная фотография,https://monet.1vasiliadi.com/img/1600/w994.webp,3840,3078,11.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Haystacks_-_Google_Art_Project.jpg
995,Луг со стогами близ Живерни,Meadow with Haystacks near Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w995.webp,1600,1263,2.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Meadow_with_Haystacks_near_Giverny,_1885.jpg"
996,Цветущий луг,Flowery Meadow,цветная фотография,https://monet.1vasiliadi.com/img/1600/w996.webp,1800,1458,2.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MB-Mon-20_Monet_Die-bluehende-Wiese_1.jpg
997,Маковое поле в Живерни,Poppy Field at Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w997.webp,1200,980,1.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Field_of_Poppies,_Giverny,_1885.jpg"
998,Поле маков,Poppy Field,скан из каталога,https://monet.1vasiliadi.com/img/1600/w998.webp,438,331,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_998.png"
999,Маковое поле в Живерни,Poppy Field at Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w999.webp,3840,3020,11.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Champ_de_coquelicots_%3B_environs_de_Giverny,_1885.jpg"
1000,Маковое поле в низине близ Живерни,Poppy Field in a Hollow near Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1000.webp,3840,3065,11.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Poppy_Field_in_a_Hollow_near_Giverny_-_Google_Art_Project.jpg
1001,Дорога близ Живерни,Road near Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1001.webp,1024,816,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1001.jpg
1002,Дорога близ Живерни,Road near Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1002.webp,822,652,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Chemin_(1885)_Claude_Monet_(W1002).jpg
1003,Пейзаж в Пор-Вийе,Landscape at Port-Villez,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1003.webp,1024,719,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1003.jpg
1004,Берега Сены в Пор-Вилле,The Banks of the Seine at Port-Villez,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1004.webp,736,595,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1004.jpg
1005,Берега Сены в Пор-Вилле,Banks of the Seine at Port-Villez,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1005.webp,721,579,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1005.jpg
1006,Сена близ Живерни,The Seine near Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1006.webp,678,481,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Seine_near_Giverny_(La_Seine_pr%C3%A8s_de_Giverny)_-_1885_-_Claude_Monet_-_Denver_Art_Museum.png
1007,Сена близ Живерни,The Seine near Giverny,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1007.webp,1024,720,0.7,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_The_Seine_at_Giverny,_1885.jpg"
1008,Рукав Сены в Живерни,Arm of the Seine at Giverny,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1008.webp,1024,718,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1008.jpg
1009,Этрета. Пляж и скала Амон,Etretat: The Beach and the Falaise d'Amont,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1009.webp,396,279,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_1009.png"
1010,Скалы Амон,Cliffs at Amont,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1010.webp,1024,842,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1010.jpg
1011,"Скала и Порт-д'Амон, утро","Cliff and Porte d'Amont, Morning Effect",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1011.webp,1024,852,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1011.jpg
1012,Пляж и скала д’Амон,The Beach and the Falaise d'Amont,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1012.webp,2876,3000,8.6,Art Institute of Chicago,https://www.artic.edu/artworks/20535
1013,Рыбацкие лодки. Этрета,"Fishing Boats, Etretat",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1013.webp,1024,787,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1013.jpg
1014,Скала Аваль и Игла,Cliff of Aval and the Porte d'Aiguille,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1014.webp,1023,723,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1014.jpg
1014a,"Этрета, Порт-д'Аваль","Etretat, the Port d'Aval",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1014a.webp,554,393,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_1014a.png"
1015,"Этрета, конец дня","Etretat, End of the Day",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1015.webp,1317,1081,1.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1015.jpg
1015a,"Этрета, конец дня","Etretat, End of the Day",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1015a.webp,556,445,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_1015a.png"
1016,Закат в Этрета,Sunset at Etretat,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1016.webp,1024,833,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1016.jpg
1017,"Этрета, скала и Порт-д'Аваль","Etretat, Cliff and the Porte d'Aval",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1017.webp,1015,769,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1017.jpg
1018,Скалы у Врат д’Аваль,The Cliffs of the Porte d'Aval,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1018.webp,1024,819,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1018.jpg
1019,Скала д’Аваль. Этрета,"The Cliff of Aval, Etrétat",цветная фотография,https://monet.1vasiliadi.com/img/1600/w1019.webp,3840,2736,10.5,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Cliff_of_Aval,_Etr%C3%A9tat_-_Google_Art_Project.jpg"
1020,Зима в Этрета,Winter Scene at Etretat,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1020.webp,1024,821,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1020.jpg
1021,Поля в Этрета,Fields at Etretat,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1021.webp,404,302,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_1021.png"
1022,Окрестности Этрета,Countryside at Etretat,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1022.webp,1012,813,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1022.jpg
1023,Нормандский домик,Normandy cottage,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1023.webp,1200,963,1.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Chaumi%C3%A8re_normande_(1885)_de_Claude_Monet_(W_1023)_-_Kunsthaus_Zurich.jpg
1024,Лодки на пляже в Этрета,Boats on the Beach at Etretat,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1024.webp,3000,2364,7.1,Art Institute of Chicago,https://www.artic.edu/artworks/14630
1025,Выход лодок. Этрета,"The Departure of the Boats, Etretat",цветная фотография,https://monet.1vasiliadi.com/img/1600/w1025.webp,3000,2380,7.1,Art Institute of Chicago,https://www.artic.edu/artworks/81540
1026,Рыбацкие лодки,Fishing Boats,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1026.webp,1000,818,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1026.jpg
1027,Парусник. Вечер,"Sailboat, Evening Effect",цветная фотография,https://monet.1vasiliadi.com/img/1600/w1027.webp,2080,1747,3.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Sailing_Boat,_Evening_Effect.jpg"
1028,Рыбацкие лодки в Этрета,Fishing Boats in Etretat,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1028.webp,736,587,0.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1028.jpg
1029,Три рыбацкие лодки,Three Fishing Boats,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1029.webp,3840,3047,11.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Three_Fishing_Boats_-_Google_Art_Project.jpg
1030,Лодки на гальке,Boats on the Pebbles,цветная фотография,https://monet.1vasiliadi.com/img/1600/w1030.webp,1147,913,1.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bateaux_sur_le_galet_(1884-1885)_Claude_Monet_(W_1030).jpg
1030a,"Этрета, лодка на пляже","Etretat, Boat on the Beach",скан из каталога,https://monet.1vasiliadi.com/img/1600/w1030a.webp,1024,825,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1030a.jpg
1031,Лодки на пляже,Boats on the Beach,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1031.webp,1320,1115,1.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1031.jpg
1031a,Лодки на пляже,Boats on the Beach,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1031a.webp,429,508,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_1031a.png"
1032,Парусники у скалы Игла,Sailboats off the Aiguille,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1032.webp,1320,1075,1.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1032.jpg
1033,Скала Игла и Врата д’Аваль,The Aiguille and the Porte d'Aval,скан из каталога,https://monet.1vasiliadi.com/img/1600/w1033.webp,760,608,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w1033.jpg
